standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Thẻ chân trắng,75/80,12X10,6+4,Chemical free,Cooked,DDP Atlanta,Ring,3.62,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Chemical free,Cooked,DDP LA,Ring,3.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Chemical free,Cooked,DDP New York,Ring,3.54,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Chemical free,Cooked,DDP Atlanta,Ring,3.64,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Chemical free,Cooked,DDP LA,Ring,3.53,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Chemical free,Cooked,DDP New York,Ring,3.56,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Chemical free,Cooked,FOB Toronto,Ring,3.53,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Chemical free,Cooked,FOB Vancouver,Ring,3.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Treated,Cooked,FOB Toronto,Ring,14.93,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Treated,Cooked,FOB Vancouver,Ring,14.6,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Treated,Cooked,DDP Atlanta,Ring,15.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
