standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Thẻ chân trắng,31/40,8X16,12+4,Treated,Cooked,DDP Atlanta,Ring,7.0,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X16,12+4,Treated,Cooked,DDP New York,Ring,6.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X16,12+4,Treated,Cooked,FOB Toronto,Ring,6.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X16,12+4,Chemical free,Cooked,FOB Toronto,Ring,7.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X16,12+4,Chemical free,Cooked,DDP Atlanta,Ring,7.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,8X16,12+4,Chemical free,Cooked,DDP New York,Ring,7.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X16,12+4,Chemical free,Cooked,DDP Atlanta,Ring,7.6,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X16,12+4,Chemical free,Cooked,DDP New York,Ring,7.42,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,8X16,12+4,Chemical free,Cooked,FOB Toronto,Ring,7.4,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X16,12+4,Treated,Cooked,FOB Vancouver,Ring,6.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X16,12+4,Treated,Cooked,DDP LA,Ring,6.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X16,12+4,Treated,Cooked,DDP LA,Ring,6.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X16,12+4,Treated,Cooked,FOB Vancouver,Ring,6.53,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X16,12+4,Chemical free,Cooked,FOB Vancouver,Ring,6.84,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X16,12+4,Chemical free,Cooked,DDP LA,Ring,6.99,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X16,12+4,Chemical free,Cooked,DDP LA,Ring,7.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X16,12+4,Chemical free,Cooked,FOB Vancouver,Ring,7.11,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Treated,Cooked,FOB Toronto,Ring,8.33,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Treated,Cooked,FOB Vancouver,Ring,8.2,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Treated,Cooked,DDP Atlanta,Ring,8.54,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Treated,Cooked,DDP LA,Ring,8.38,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Treated,Cooked,DDP New York,Ring,8.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Treated,Cooked,DDP Atlanta,Ring,8.83,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Treated,Cooked,DDP LA,Ring,8.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Treated,Cooked,DDP New York,Ring,8.72,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Treated,Cooked,FOB Toronto,Ring,8.61,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Treated,Cooked,FOB Vancouver,Ring,8.48,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Chemical free,Cooked,FOB Toronto,Ring,9.02,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Chemical free,Cooked,FOB Vancouver,Ring,8.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Chemical free,Cooked,DDP Atlanta,Ring,9.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Chemical free,Cooked,DDP LA,Ring,9.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X20,16+4,Chemical free,Cooked,DDP New York,Ring,9.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Chemical free,Cooked,DDP Atlanta,Ring,9.62,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Chemical free,Cooked,DDP LA,Ring,9.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Chemical free,Cooked,DDP New York,Ring,9.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Chemical free,Cooked,FOB Toronto,Ring,9.38,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X20,16+4,Chemical free,Cooked,FOB Vancouver,Ring,9.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X12,8+4,Treated,Cooked,FOB Toronto,Ring,4.8,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X12,8+4,Treated,Cooked,FOB Toronto,Ring,4.94,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X12,8+4,Chemical free,Cooked,FOB Toronto,Ring,5.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X12,8+4,Chemical free,Cooked,FOB Toronto,Ring,5.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Treated,Cooked,FOB Toronto,Ring,7.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Treated,Cooked,FOB Vancouver,Ring,7.3,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Treated,Cooked,DDP Atlanta,Ring,7.64,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Treated,Cooked,DDP LA,Ring,7.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Treated,Cooked,DDP New York,Ring,7.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Treated,Cooked,DDP Atlanta,Ring,7.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Treated,Cooked,DDP LA,Ring,7.71,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Treated,Cooked,DDP New York,Ring,7.76,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Treated,Cooked,FOB Toronto,Ring,7.7,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Treated,Cooked,FOB Vancouver,Ring,7.55,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Chemical free,Cooked,FOB Toronto,Ring,8.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Chemical free,Cooked,FOB Vancouver,Ring,7.91,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Chemical free,Cooked,DDP Atlanta,Ring,8.27,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Chemical free,Cooked,DDP LA,Ring,8.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,16X18,14+4,Chemical free,Cooked,DDP New York,Ring,8.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Chemical free,Cooked,DDP Atlanta,Ring,8.58,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Chemical free,Cooked,DDP LA,Ring,8.4,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Chemical free,Cooked,DDP New York,Ring,8.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Chemical free,Cooked,FOB Toronto,Ring,8.37,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,16X18,14+4,Chemical free,Cooked,FOB Vancouver,Ring,8.22,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Treated,Cooked,FOB Toronto,Ring,4.37,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Treated,Cooked,FOB Vancouver,Ring,4.28,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Treated,Cooked,DDP Atlanta,Ring,4.48,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Treated,Cooked,DDP LA,Ring,4.37,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Treated,Cooked,DDP New York,Ring,4.4,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Treated,Cooked,DDP Atlanta,Ring,4.63,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Treated,Cooked,DDP LA,Ring,4.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Treated,Cooked,DDP New York,Ring,4.55,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Treated,Cooked,FOB Toronto,Ring,4.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Treated,Cooked,FOB Vancouver,Ring,4.42,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Chemical free,Cooked,FOB Toronto,Ring,4.69,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Chemical free,Cooked,FOB Vancouver,Ring,4.6,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Chemical free,Cooked,DDP Atlanta,Ring,4.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Chemical free,Cooked,DDP LA,Ring,4.71,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,12X10,8+2,Chemical free,Cooked,DDP New York,Ring,4.74,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Chemical free,Cooked,DDP Atlanta,Ring,5.0,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Chemical free,Cooked,DDP LA,Ring,4.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Chemical free,Cooked,DDP New York,Ring,4.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Chemical free,Cooked,FOB Toronto,Ring,4.87,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,12X10,8+2,Chemical free,Cooked,FOB Vancouver,Ring,4.78,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,FOB Toronto,Ring,12.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,FOB Toronto,Ring,12.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,FOB Vancouver,Ring,12.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,FOB Vancouver,Ring,12.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,DDP Atlanta,Ring,13.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,DDP Atlanta,Ring,13.16,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,DDP LA,Ring,12.71,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,DDP LA,Ring,12.72,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,DDP New York,Ring,12.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Treated,Cooked,DDP New York,Ring,12.84,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,DDP Atlanta,Ring,13.56,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,DDP Atlanta,Ring,13.59,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,DDP LA,Ring,13.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,DDP LA,Ring,13.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,DDP New York,Ring,13.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,DDP New York,Ring,13.27,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,FOB Toronto,Ring,13.22,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,FOB Toronto,Ring,13.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,FOB Vancouver,Ring,12.87,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Treated,Cooked,FOB Vancouver,Ring,12.88,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,FOB Toronto,Ring,13.84,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,FOB Toronto,Ring,13.87,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,FOB Vancouver,Ring,13.49,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,FOB Vancouver,Ring,13.5,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,DDP Atlanta,Ring,14.2,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,DDP Atlanta,Ring,14.23,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,DDP LA,Ring,13.78,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,DDP LA,Ring,13.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,DDP New York,Ring,13.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,24+8,Chemical free,Cooked,DDP New York,Ring,13.91,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,DDP Atlanta,Ring,14.75,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,DDP Atlanta,Ring,14.78,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,DDP LA,Ring,14.33,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,DDP LA,Ring,14.34,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,DDP New York,Ring,14.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,DDP New York,Ring,14.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,FOB Toronto,Ring,14.37,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,FOB Toronto,Ring,14.4,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,FOB Vancouver,Ring,14.02,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,24+8,Chemical free,Cooked,FOB Vancouver,Ring,14.03,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,26+6,Treated,Cooked,FOB Toronto,Ring,13.83,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,26+6,Treated,Cooked,DDP Atlanta,Ring,14.19,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,26+6,Treated,Cooked,DDP Atlanta,Ring,14.66,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,26+6,Treated,Cooked,FOB Toronto,Ring,14.29,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,26+6,Chemical free,Cooked,FOB Toronto,Ring,14.96,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X32,26+6,Chemical free,Cooked,DDP Atlanta,Ring,15.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,26+6,Chemical free,Cooked,DDP Atlanta,Ring,15.94,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X32,26+6,Chemical free,Cooked,FOB Toronto,Ring,15.54,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Treated,Cooked,FOB Toronto,Ring,7.39,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Treated,Cooked,FOB Vancouver,Ring,7.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Treated,Cooked,DDP Atlanta,Ring,7.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Treated,Cooked,DDP New York,Ring,7.33,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Treated,Cooked,DDP Atlanta,Ring,7.58,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Treated,Cooked,DDP New York,Ring,7.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Treated,Cooked,FOB Toronto,Ring,7.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Treated,Cooked,FOB Vancouver,Ring,7.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Chemical free,Cooked,FOB Toronto,Ring,8.3,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Chemical free,Cooked,FOB Vancouver,Ring,8.17,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Chemical free,Cooked,DDP Atlanta,Ring,8.17,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Chemical free,Cooked,DDP New York,Ring,8.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Chemical free,Cooked,DDP Atlanta,Ring,8.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,20X15,12+3,Chemical free,Cooked,DDP New York,Ring,8.4,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Chemical free,Cooked,FOB Toronto,Ring,7.97,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,20X15,12+3,Chemical free,Cooked,FOB Vancouver,Ring,7.84,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Treated,Cooked,FOB Toronto,Ring,11.74,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Treated,Cooked,FOB Vancouver,Ring,11.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Treated,Cooked,DDP Atlanta,Ring,11.85,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Treated,Cooked,DDP LA,Ring,11.34,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Treated,Cooked,DDP New York,Ring,11.48,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Treated,Cooked,DDP Atlanta,Ring,12.04,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Treated,Cooked,DDP LA,Ring,11.53,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Treated,Cooked,DDP New York,Ring,11.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Treated,Cooked,FOB Toronto,Ring,11.55,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Treated,Cooked,FOB Vancouver,Ring,11.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Chemical free,Cooked,FOB Toronto,Ring,13.11,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Chemical free,Cooked,FOB Vancouver,Ring,12.69,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Chemical free,Cooked,DDP Atlanta,Ring,12.94,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Chemical free,Cooked,DDP LA,Ring,12.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Chemical free,Cooked,DDP New York,Ring,12.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Chemical free,Cooked,DDP Atlanta,Ring,13.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Chemical free,Cooked,DDP LA,Ring,12.94,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X24,18+6,Chemical free,Cooked,DDP New York,Ring,13.08,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Chemical free,Cooked,FOB Toronto,Ring,12.61,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X24,18+6,Chemical free,Cooked,FOB Vancouver,Ring,12.19,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Treated,Cooked,FOB Toronto,Ring,5.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Treated,Cooked,FOB Vancouver,Ring,5.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
