standard_type,standard_size,chemical,processing,cooking,incoterms,price,unit,factory,active_date,week,month,quarter,year,month_number,quarter_number
Sú sinh thái,4/6,Treated,PD,Raw,FOB HCM,16.91,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Raw,None,17.37,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PTO,Cooked,FOB HCM,18.7,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PTO,Cooked,None,19.2,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Cooked,FOB HCM,17.81,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Cooked,None,18.29,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,HLSO-O,None,FOB HCM,13.38,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,HLSO-O,None,None,13.76,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Raw,FOB HCM,14.2,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Raw,None,14.6,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Raw,FOB HCM,14.91,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Raw,None,15.32,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Cooked,FOB HCM,17.01,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Cooked,None,17.48,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Cooked,FOB HCM,16.2,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Cooked,None,16.65,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,HLSO-O,None,FOB HCM,9.79,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,HLSO-O,None,None,10.08,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Raw,FOB HCM,10.39,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Raw,None,10.69,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Raw,FOB HCM,10.9,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Raw,None,11.22,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Cooked,FOB HCM,13.82,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Cooked,None,14.2,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Cooked,FOB HCM,13.16,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Cooked,None,13.53,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,HLSO-O,None,FOB HCM,7.86,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,HLSO-O,None,None,8.09,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Raw,FOB HCM,8.34,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Raw,None,8.59,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Raw,FOB HCM,8.75,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Raw,None,9.01,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Cooked,FOB HCM,10.54,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Cooked,None,10.85,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Cooked,FOB HCM,10.04,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Cooked,None,10.33,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,HLSO-O,None,FOB HCM,6.26,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,HLSO-O,None,None,6.46,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Raw,FOB HCM,6.64,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Raw,None,6.85,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Raw,FOB HCM,6.97,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Raw,None,7.18,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Cooked,FOB HCM,8.45,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Cooked,None,8.7,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Cooked,FOB HCM,8.05,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Cooked,None,8.29,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,HLSO-O,None,FOB HCM,5.63,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,HLSO-O,None,None,5.81,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Raw,FOB HCM,5.97,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Raw,None,6.16,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PD,Raw,FOB HCM,6.26,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PD,Raw,None,6.46,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Cooked,FOB HCM,7.13,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Cooked,None,7.35,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PD,Cooked,FOB HCM,6.79,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PD,Cooked,None,7.0,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,HLSO-O,None,FOB HCM,4.52,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,HLSO-O,None,None,4.68,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PTO,Raw,FOB HCM,4.8,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PTO,Raw,None,4.96,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PD,Raw,FOB HCM,5.03,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PD,Raw,None,5.2,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PTO,Cooked,FOB HCM,6.1,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PTO,Cooked,None,6.29,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PD,Cooked,FOB HCM,5.81,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,26/30,Treated,PD,Cooked,None,5.99,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,HLSO-O,None,FOB HCM,4.13,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,HLSO-O,None,None,4.27,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PTO,Raw,FOB HCM,4.38,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PTO,Raw,None,4.53,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PD,Raw,FOB HCM,4.59,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PD,Raw,None,4.75,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PTO,Cooked,FOB HCM,5.21,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PTO,Cooked,None,5.38,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PD,Cooked,FOB HCM,4.96,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,31/40,Treated,PD,Cooked,None,5.12,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,HLSO-O,None,FOB HCM,4.01,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,HLSO-O,None,None,4.15,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PTO,Raw,FOB HCM,4.25,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PTO,Raw,None,4.4,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PD,Raw,FOB HCM,4.46,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PD,Raw,None,4.61,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PTO,Cooked,FOB HCM,4.9,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PTO,Cooked,None,5.07,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PD,Cooked,FOB HCM,4.67,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,41/50,Treated,PD,Cooked,None,4.83,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,HLSO-O,None,FOB HCM,3.95,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,HLSO-O,None,None,4.09,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PTO,Raw,FOB HCM,4.19,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PTO,Raw,None,4.33,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PD,Raw,FOB HCM,4.39,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PD,Raw,None,4.54,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PTO,Cooked,FOB HCM,4.8,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PTO,Cooked,None,4.96,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PD,Cooked,FOB HCM,4.57,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,51/60,Treated,PD,Cooked,None,4.73,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,HLSO-O,None,FOB HCM,3.81,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,HLSO-O,None,None,3.95,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PTO,Raw,FOB HCM,4.04,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PTO,Raw,None,4.18,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PD,Raw,FOB HCM,4.24,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PD,Raw,None,4.38,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PTO,Cooked,FOB HCM,4.68,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PTO,Cooked,None,4.84,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PD,Cooked,FOB HCM,4.46,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,61/70,Treated,PD,Cooked,None,4.61,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,HLSO-O,None,FOB HCM,3.71,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,HLSO-O,None,None,3.85,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PTO,Raw,FOB HCM,3.94,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PTO,Raw,None,4.07,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PD,Raw,FOB HCM,4.13,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PD,Raw,None,4.27,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PTO,Cooked,FOB HCM,4.54,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PTO,Cooked,None,4.7,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PD,Cooked,FOB HCM,4.33,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,71/90,Treated,PD,Cooked,None,4.47,USD/kg,Cà Mau,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,2/4,Treated,HLSO-O,None,FOB HCM,16.16,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,2/4,Treated,PTO,Raw,FOB HCM,17.16,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,2/4,Treated,PTO,Raw,None,17.63,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,2/4,Treated,PD,Raw,FOB HCM,18.01,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,2/4,Treated,PD,Raw,None,18.5,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,HLSO-O,None,FOB HCM,15.12,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,HLSO-O,None,None,15.54,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PTO,Raw,FOB HCM,16.05,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PTO,Raw,None,16.49,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Raw,FOB HCM,16.84,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Raw,None,17.31,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PTO,Cooked,FOB HCM,18.63,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PTO,Cooked,None,19.13,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Cooked,FOB HCM,17.74,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,4/6,Treated,PD,Cooked,None,18.22,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,HLSO-O,None,FOB HCM,13.32,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,HLSO-O,None,None,13.7,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Raw,FOB HCM,14.14,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Raw,None,14.53,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Raw,FOB HCM,14.84,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Raw,None,15.25,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Cooked,FOB HCM,16.94,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PTO,Cooked,None,17.4,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Cooked,FOB HCM,16.13,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,6/8,Treated,PD,Cooked,None,16.58,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,HLSO-O,None,FOB HCM,9.73,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,HLSO-O,None,None,10.01,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Raw,FOB HCM,10.33,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Raw,None,10.63,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Raw,FOB HCM,10.84,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Raw,None,11.15,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Cooked,FOB HCM,13.75,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PTO,Cooked,None,14.13,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Cooked,FOB HCM,13.09,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,8/12,Treated,PD,Cooked,None,13.46,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,HLSO-O,None,FOB HCM,7.8,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,HLSO-O,None,None,8.03,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Raw,FOB HCM,8.27,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Raw,None,8.52,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Raw,FOB HCM,8.68,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Raw,None,8.94,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Cooked,FOB HCM,10.47,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PTO,Cooked,None,10.77,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Cooked,FOB HCM,9.97,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,13/15,Treated,PD,Cooked,None,10.26,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,HLSO-O,None,FOB HCM,6.2,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,HLSO-O,None,None,6.39,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Raw,FOB HCM,6.58,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Raw,None,6.78,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Raw,FOB HCM,6.9,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Raw,None,7.11,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Cooked,FOB HCM,8.38,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PTO,Cooked,None,8.63,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Cooked,FOB HCM,7.98,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,16/20,Treated,PD,Cooked,None,8.22,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,HLSO-O,None,FOB HCM,5.57,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,HLSO-O,None,None,5.75,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Raw,FOB HCM,5.91,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Raw,None,6.09,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PD,Raw,FOB HCM,6.2,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PD,Raw,None,6.39,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
Sú sinh thái,21/25,Treated,PTO,Cooked,FOB HCM,7.06,USD/kg,Hậu Giang,2018-06-20,2018/6/25,2018/6,2018/2,2018,6,2
