standard_type,standard_size,chemical,processing,cooking,incoterms,price,unit,factory,active_date,week,month,quarter,year,month_number,quarter_number
Sú sinh thái,8/12,Treated,PD,Cooked,None,12.81,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,HLSO-O,None,FOB HCM,7.47,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,HLSO-O,None,None,7.69,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PTO,Raw,FOB HCM,7.92,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PTO,Raw,None,8.16,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PD,Raw,FOB HCM,8.31,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PD,Raw,None,8.56,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PTO,Cooked,FOB HCM,10.16,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PTO,Cooked,None,10.45,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PD,Cooked,FOB HCM,9.67,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,13/15,Treated,PD,Cooked,None,9.95,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,HLSO-O,None,FOB HCM,6.3,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,HLSO-O,None,None,6.5,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PTO,Raw,FOB HCM,6.69,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PTO,Raw,None,6.89,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PD,Raw,FOB HCM,7.01,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PD,Raw,None,7.23,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PTO,Cooked,FOB HCM,8.24,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PTO,Cooked,None,8.49,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PD,Cooked,FOB HCM,7.85,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,16/20,Treated,PD,Cooked,None,8.09,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,HLSO-O,None,FOB HCM,4.92,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,HLSO-O,None,None,5.08,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PTO,Raw,FOB HCM,5.22,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PTO,Raw,None,5.39,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PD,Raw,FOB HCM,5.48,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PD,Raw,None,5.65,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PTO,Cooked,FOB HCM,6.73,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PTO,Cooked,None,6.94,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PD,Cooked,FOB HCM,6.41,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,21/25,Treated,PD,Cooked,None,6.61,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,HLSO-O,None,FOB HCM,4.82,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,HLSO-O,None,None,4.99,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PTO,Raw,FOB HCM,5.12,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PTO,Raw,None,5.28,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PD,Raw,FOB HCM,5.37,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PD,Raw,None,5.54,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PTO,Cooked,FOB HCM,5.86,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PTO,Cooked,None,6.05,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PD,Cooked,FOB HCM,5.58,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,26/30,Treated,PD,Cooked,None,5.76,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,HLSO-O,None,FOB HCM,4.61,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,HLSO-O,None,None,4.77,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PTO,Raw,FOB HCM,4.89,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PTO,Raw,None,5.05,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PD,Raw,FOB HCM,5.13,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
